Title	Genre
Putzel (2012)	'Comedy', 'Drama', 'Romance'
Transit (2012)	'Action', 'Crime', 'Thriller'
Anaganaga O Dheerudu (2011)	'Adventure', 'Family', 'Fantasy'
Repeaters (2010)	'Action', 'Crime', 'Drama'
Killswitch (2014)	'Documentary', 'Drama'
Mission: Impossible II (2000)	'Action', 'Adventure', 'Thriller'
American Movie (1999)	'Documentary', 'Comedy'
La scuola (1995)	'Comedy', 'Drama'
Stiletto (2008)	'Action', 'Crime', 'Drama'
The Runner (2015)	'Drama'
Spectre (2015)	'Action', 'Adventure', 'Thriller'
Houston (2013)	'Drama'
Battle of the Damned (2013)	'Action', 'Adventure', 'Horror'
Preaching to the Perverted (1997)	'Comedy', 'Drama'
Beautiful People (1999)	'Comedy', 'Drama'
Rob Roy (1995)	'Adventure', 'Biography'
Step Up Revolution (2012)	'Drama', 'Romance'
Mother's Day (2010)	'Horror', 'Thriller'
American Legends (2001)	'Animation', 'Family', 'Fantasy'
Solstice (1994)	'Drama'
The D Train (2015)	'Comedy', 'Drama'
Seom (2000)	'Drama', 'Thriller'
Cleopatra (2003)	'Comedy', 'Drama'
Rising from Ashes (2012)	'Documentary'
San Francisco 2.0 (2015)	'Documentary'
For the Bible Tells Me So (2007)	'Documentary', 'Romance'
Pour elle (2008)	'Crime', 'Drama', 'Thriller'
Iron Maiden: Flight 666 (2009)	'Documentary'
Death Warrior (2009)	'Action', 'Drama', 'Horror'
The Land Before Time VI: The Secret of Saurus Rock (1998)	'Animation', 'Adventure', 'Family'
The Workshop (2007)	'Documentary'
Kotsutsubo (2012)	'Horror'
Cat Run (2011)	'Action', 'Comedy'
Sasori (2008)	'Action'
Alien Hunter (2003)	'Action', 'Adventure', 'Sci-Fi'
This Boy's Life (1993)	'Biography', 'Drama'
The Gay Bed and Breakfast of Terror (2007)	'Comedy', 'Horror'
Suchí¬mubíÇi (2004)	'Animation', 'Action', 'Adventure'
Singham (2011)	'Action', 'Crime', 'Drama'
Fay Grim (2006)	'Action', 'Comedy', 'Thriller'
L.A. Story (1991)	'Comedy', 'Drama', 'Fantasy'
Interkosmos (2006)	'Drama'
Tetro (2009)	'Drama'
Steal This Film (2006)	'Documentary'
Nymphomaniac: Vol. I (2013)	'Drama'
This Is Normal (2013)	'Drama'
Chuck Norris vs. Communism (2015)	'Documentary', 'Comedy'
Whisper (2007)	'Crime', 'Drama', 'Horror'
Idiocracy (2006)	'Adventure', 'Comedy', 'Sci-Fi'
Ganes (2007)	'Biography', 'Drama'
The Secret Pact (2001)	'Thriller'
Fire in the Blood (2013)	'Documentary'
Bai yin di guo (2009)	'Biography', 'Drama', 'Family'
Pumzi (2009)	'Sci-Fi'
The Blind Side (2009)	'Biography', 'Drama'
Het paard van Sinterklaas (2005)	'Drama', 'Family'
The Big Day (1999)	'Comedy'
The Wailing (2016)	'Drama', 'Fantasy', 'Horror'
You're Not You (2014)	'Drama'
Barely Legal (2011)	'Comedy'
The Present (2014)	'Animation', 'Comedy'
Compliance (2012)	'Biography', 'Crime', 'Drama'
Two Lovers (2008)	'Drama', 'Romance'
Tucker and Dale vs Evil (2010)	'Comedy', 'Horror'
Si-ra-no; Yeon-ae-jo-jak-do (2010)	'Comedy', 'Romance'
An Angel at My Table (1990)	'Biography', 'Drama'
Perez. (2014)	'Crime', 'Drama', 'Thriller'
Doomsday Prophecy (2011)	'Sci-Fi'
De Palma (2015)	'Documentary', 'Biography'
The Science of Sleep (2006)	'Comedy', 'Drama', 'Fantasy'
G.B.F. (2013)	'Comedy', 'Romance'
Peep World (2010)	'Comedy', 'Drama'
Wicked Blood (2014)	'Action', 'Crime', 'Drama'
Palestine Is Still the Issue (2003)	'Documentary'
An American Affair (2008)	'Drama'
Caro diario (1993)	'Biography', 'Comedy', 'Drama'
Who Killed Captain Alex? (2010)	'Action'
Le meraviglie (2014)	'Drama'
Mr. Deeds (2002)	'Comedy', 'Romance'
Journey to Space (2015)	'Documentary', 'Adventure', 'Sci-Fi'
Il ladro di bambini (1992)	'Drama'
Freetown (2015)	'Action', 'Drama', 'Thriller'
Sausage Party (2016)	'Animation', 'Adventure', 'Comedy'
In a Day (2006)	'Comedy', 'Drama', 'Romance'
Mercy Streets (2000)	'Action', 'Drama', 'Crime'
Il sole nero (2007)	'Drama'
Carmina o revienta (2012)	'Comedy', 'Drama'
Fool's Gold (2008)	'Action', 'Adventure', 'Comedy'
10 Things I Hate About You (1999)	'Comedy', 'Drama', 'Romance'
Race 2 (2013)	'Action', 'Crime', 'Thriller'
Contracted: Phase II (2015)	'Drama', 'Horror', 'Thriller'
Big Match (2014)	'Action', 'Comedy', 'Thriller'
Andron (2015)	'Action', 'Sci-Fi'
Barbie: A Fairy Secret (2011)	'Animation', 'Family', 'Fantasy'
The Burning Plain (2008)	'Crime', 'Drama', 'Romance'
46-okunen no koi (2006)	'Drama', 'Fantasy'
Luther (2003)	'Biography', 'Drama'
Lift (2006)	'Thriller'
Operation: Endgame (2010)	'Action', 'Comedy'
Beneath the Blue (2010)	'Drama'
Immortality (1998)	'Crime', 'Mystery', 'Romance'
3-Headed Shark Attack (2015)	'Action', 'Horror', 'Sci-Fi'
Free Willy 2: The Adventure Home (1995)	'Adventure', 'Drama', 'Family'
Stolen Seas (2012)	'Documentary', 'Adventure', 'Crime'
Un boss in salotto (2014)	'Comedy'
Lulu on the Bridge (1998)	'Drama', 'Mystery'
Sof Ha'Olam Smola (2004)	'Drama', 'Romance'
My Summer Prince (2016)	'Comedy', 'Family', 'Romance'
Salam Neighbor (2015)	'Documentary', 'Adventure', 'Drama'
The Water Horse (2007)	'Adventure', 'Family', 'Fantasy'
Clubbed (2008)	'Crime', 'Drama'
Twisted (1996)	'Drama'
Leonie (2010)	'Biography', 'Drama'
Star Trek: Nemesis (2002)	'Action', 'Adventure', 'Sci-Fi'
Listening (2014)	'Drama', 'Sci-Fi', 'Thriller'
Sick: The Life & Death of Bob Flanagan, Supermasochist (1997)	'Documentary'
The Dark (2005)	'Horror', 'Mystery', 'Thriller'
American Teen (2008)	'Documentary'
Tart (2001)	'Crime', 'Drama', 'Romance'
The Brothers McMullen (1995)	'Comedy', 'Drama', 'Romance'
